hostname,ipaddress,platform,groups
3D-R01,10.30.4.253,ios,cn-3d
3D-EDSW01,10.30.4.251,ios,cn-3d
3D-EDSW02,10.30.4.250,ios,cn-3d
3D-ASW1,10.30.4.1,ios,cn-3d
3D-ASW2,10.30.4.2,ios,cn-3d
3D-ASW3,10.30.4.3,ios,cn-3d
3D-ASW4,10.30.4.4,ios,cn-3d
3D-ASW5,10.30.4.5,ios,cn-3d
3D-ASW6,10.30.4.6,ios,cn-3d
3D-ASW7,10.30.4.7,ios,cn-3d
3D-ASW8,10.30.4.8,ios,cn-3d
3D-ASW9,10.30.4.9,ios,cn-3d
3D-ASW10,10.30.4.10,ios,cn-3d
3D-ASW11,10.30.4.11,ios,cn-3d
3D-ASW12,10.30.4.12 ,ios,cn-3d
3D-ASW13,10.30.4.13,ios,cn-3d
3D-ASW14,10.30.4.1,ios,cn-3d
3D-ASW15,10.30.4.15,ios,cn-3d
3D-ASW16,10.30.4.16,ios,cn-3d
1C-R01,10.10.4.253 ,ios,cn-1c
1C-EDSW01,10.10.4.251,ios,cn-1c
1C-ASW01,10.10.4.1 ,ios,cn-1c
1C-ASW02,10.10.4.2,ios,cn-1c
1C-ASW03,10.10.4.3,ios,cn-1c
1C-ASW04,10.10.4.4,ios,cn-1c
1D-R01,10.10.5.253,ios,cn-1d
1D-EDWS01,10.10.5.251,ios,cn-1d
1D-ASW01,10.10.5.1,ios,cn-1d
1D-ASW02,10.10.5.2,ios,cn-1d
1D-ASW03,10.10.5.3,ios,cn-1d
1D-ASW04,10.10.5.4,ios,cn-1d
1D-ASW05,10.10.5.5,ios,cn-1d
1D-ASW06,10.10.5.6,ios,cn-1d
1D-ASW07,10.10.5.7,ios,cn-1d
1D-ASW08,10.10.5.8,ios,cn-1d
1D-ASW09,10.10.5.9,ios,cn-1d
2C2-R01,10.20.3.253,ios,cn-2ca3-cn-2cb4
2C2-EDSW01,10.20.3.251,ios,cn-2ca3-cn-2cb4
2CA3-ASW01,10.20.3.1,ios,cn-2ca3-cn-2cb4
2CB4-ASW02,10.20.3.2,ios,cn-2ca3-cn-2cb4
3C-R01,10.30.3.253,ios,cn-3c
3C-EDSW01,10.30.3.251,ios,cn-3c
3C-ASWO1,10.30.3.1,ios,cn-3c
3C-ASWO2,10.30.3.2,ios,cn-3c
3C-ASWO3,10.30.3.3,ios,cn-3c
3C-ASWO4,10.30.3.4,ios,cn-3c
3I-R01,10.30.9.253 ,ios,cn-3i
3I-EDSW01,10.30.9.251,ios,cn-3i
3I-ASW01,10.30.9.1 ,ios,cn-3i
3I-ASW02,10.30.9.2,ios,cn-3i
3I-ASW03,10.30.9.3,ios,cn-3i
3I-ASW04,10.30.9.4,ios,cn-3i
3I-ASW05,10.30.9.5,ios,cn-3i
3I-ASW06,10.30.9.6,ios,cn-3i
5O-R01,10.50.15.253,ios,cn-5o
5O-EDSW01,10.50.15.251,ios,cn-5o
5O-ASW01,10.50.15.1,ios,cn-5o
5O-ASW02,10.50.15.2,ios,cn-5o
5O-ASW03,10.50.15.3,ios,cn-5o
5O-ASW04,10.50.15.4,ios,cn-5o
5O-ASW05,10.50.15.5,ios,cn-5o
5O-ASW06,10.50.15.6,ios,cn-5o
CORE-R1,192.168.1.1,ios,core-routers
CORE-R2,192.168.1.5,ios,core-routers
IT-R01,172.16.0.253,ios,sparc-internal
IT-EDSW01 ,172.16.0.251,ios,sparc-internal
ADMIN-ASW01,172.16.0.14,ios,sparc-internal
MDF-LEVEL1,172.16.0.10,ios,sparc-mdf
MDF-LEVEL2,172.16.0.20,ios,sparc-mdf
MDF-LEVEL3,172.16.0.30,ios,sparc-mdf
MDF-LEVEL4,172.16.0.40,ios,sparc-mdf
MDF-LEVEL5,172.16.0.50,ios,sparc-mdf
SPARC-IDF-L1,172.16.0.11,ios,sparc-idf
SPARC-IDF-R1,172.16.0.12,ios,sparc-idf
SPARC-IDF-L2,172.16.0.21,ios,sparc-idf
SPARC-IDF-R2,172.16.0.22,ios,sparc-idf
SPARC-IDF-L3,172.16.0.31,ios,sparc-idf
SPARC-IDF-R3,172.16.0.32,ios,sparc-idf
SPARC-IDF-L4,172.16.0.41,ios,sparc-idf
SPARC-IDF-R4,172.16.0.42,ios,sparc-idf
SPARC-IDF-L5,172.16.0.51,ios,sparc-idf
SPARC-IDF-R5,172.16.0.52,ios,sparc-idf
IDF-LEVEL8,172.16.0.58 ,ios,sparc-idf
IDF-PARKING,172.16.0.23,ios,sparc-idf
IDF3-MEZZANINE,172.16.0.44,ios,sparc-idf
